asset,liab,m_d,m_p,ir,gn
0.0,1794840.28,,<30,-5.0,-1
0.0,350082.28,,<30,-5.0,-1
0.0,415658.81,,<30,-5.0,-1
0.0,909327.86,,<30,-5.0,-1
0.0,553498.49,,<30,-4.0,-1
0.0,1327546.34,,<30,-4.0,-1
0.0,92092.28,,<30,-3.5,-1
0.0,2529754.03,,<30,-3.5,-1
0.0,482743.06,,<30,-3.5,-1
0.0,109009.02,,<30,-3.0,-1
0.0,587304.87,,<30,-2.75,-1
0.0,1812313.56,,<30,-2.5,-1
0.0,1041692.96,,<30,-2.5,-1
0.0,425897.28,,<30,-2.5,-1
0.0,2531672.46,,<30,-2.5,-1
0.0,432572.96,,<30,-2.25,-1
0.0,576647.39,,<30,-2.0,-1
0.0,204256.25,,<30,-1.25,-1
0.0,1478888.45,,<30,-1.25,-1
0.0,1738280.49,,<30,-1.0,-1
0.0,229852.23,,<30,-1.0,-1
0.0,467770.83,,<30,-0.8,-1
0.0,484716.8,,<30,-0.75,-1
0.0,487999.33,,<30,-0.75,-1
0.0,3449233.15,,<30,-0.75,-1
0.0,1153463.47,,<30,-0.7,-1
0.0,5765817.81,,<30,-0.7,-1
0.0,626965.04,,<30,-0.5,-1
0.0,71355.46,,<30,-0.5,-1
0.0,11155075.56,,<30,-0.5,-1
0.0,2194255.47,,<30,-0.5,-1
0.0,195133.46,,<30,-0.25,-1
0.0,13531251.14,,<30,-0.1,-1
0.0,13608916.2,,<30,-0.1,-1
0.0,7828178.1,,<30,-0.1,-1
0.0,7113610.68,,<30,-0.1,-1
0.0,2441986.41,,<30,-0.1,-1
0.0,1334992.59,,<30,-0.1,-1
0.0,1265489.45,,<30,-0.1,-1
0.0,173058.06,,<30,-0.1,-1
0.0,443104.63,,<30,-0.1,-1
0.0,2994899.04,,<30,-0.1,-1
0.0,844783.57,,<30,-0.1,-1
0.0,1967824.78,,<30,-0.1,-1
0.0,417582.68,,<30,-0.1,-1
0.0,794691.12,,<30,-0.1,-1
0.0,14991413.69,,<30,-0.1,-1
0.0,322788.42,,<30,-0.1,-1
0.0,1191580.0,,<30,-0.1,-1
0.0,1760372.44,,<30,-0.1,-1
0.0,2004210.52,,<30,-0.1,-1
0.0,8448262.93,,<30,-0.1,-1
0.0,954813.46,,<30,-0.1,-1
0.0,11269196.55,,<30,-0.1,-1
0.0,673226.47,,<30,-0.1,-1
0.0,5097398.19,,<30,-0.1,-1
0.0,170787.02,,<30,-0.1,-1
0.0,1558195.31,,<30,-0.1,-1
0.0,1725954.71,,<30,-0.1,-1
0.0,825400.0,,<30,-0.1,-1
0.0,865873.06,,<30,-0.1,-1
0.0,1274884.0,,<30,-0.1,-1
0.0,824902.09,,<30,-0.1,-1
0.0,2757191.55,,<30,-0.1,-1
0.0,8878040.78,,<30,-0.1,-1
0.0,2748596.67,,<30,-0.1,-1
0.0,3228864.6,,<30,-0.1,-1
0.0,1180306.27,,<30,-0.1,-1
0.0,7829886.42,,<30,-0.1,-1
0.0,1460351.62,,<30,-0.1,-1
0.0,3607302.66,,<30,-0.1,-1
0.0,5023013.12,,<30,-0.1,-1
0.0,405390.52,,<30,-0.1,-1
0.0,1241315.81,,<30,-0.1,-1
0.0,10486605.33,,<30,-0.1,-1
0.0,2172155.3,,<30,-0.1,-1
0.0,8771925.57,,<30,-0.1,-1
0.0,161867.09,,<30,-0.1,-1
0.0,177942.34,,<30,-0.1,-1
0.0,3053875.68,,<30,-0.1,-1
0.0,9780827.79,,<30,-0.1,-1
0.0,674416.82,,<30,-0.05,-1
0.0,485260.29,,<30,-0.05,-1
0.0,495000.0,,<30,0.0,-1
0.0,11750.0,,<30,0.0,-1
0.0,1984000.0,,<30,0.0,-1
0.0,3097921.6,,<30,0.05,-1
0.0,614927.33,,<30,0.1,-1
0.0,1052526.31,,<30,0.1,-1
0.0,8888246.87,,<30,0.1,-1
0.0,571996.14,,<30,0.1,-1
0.0,5042492.16,,<30,0.1,-1
0.0,4224281.62,,<30,0.1,-1
0.0,571483.26,,<30,0.15,-1
0.0,1673869.64,,<30,0.2,-1
0.0,5339939.0,,<30,0.2,-1
0.0,211275.21,,<30,0.2,-1
0.0,957099.18,,<30,0.25,36
1277526.61,0.0,,<30,0.25,36
0.0,524106.44,,<30,0.25,36
0.0,376531.65,,<30,0.25,36
0.0,519689.33,,<30,0.35,36
0.0,2263633.3,,<30,0.35,36
0.0,524043.86,,<30,0.35,36
0.0,1076991.43,,<30,0.4,-1
0.0,543798.33,,<30,0.4,-1
0.0,1170728.0,,<30,0.4,-1
0.0,5005612.4,,<30,0.4,-1
0.0,5458364.27,,<30,0.4,-1
0.0,1996953.64,,<30,0.4,-1
0.0,515702.41,,<30,0.45,-1
0.0,523151.67,,<30,0.45,-1
0.0,708898.53,,<30,0.45,-1
0.0,524811.5,,<30,0.45,-1
0.0,8108176.92,,<30,0.5,-1
0.0,246925.93,,<30,0.5,-1
0.0,225463.2,,<30,0.5,-1
0.0,733829.74,,<30,0.5,-1
0.0,789874.17,,<30,0.5,-1
0.0,207768.47,,<30,0.5,-1
0.0,207339.78,,<30,0.5,-1
0.0,252425.76,,<30,0.5,-1
0.0,199626.41,,<30,0.5,-1
0.0,261167.63,,<30,0.5,-1
0.0,260885.86,,<30,0.5,-1
0.0,227198.73,,<30,0.5,-1
0.0,310535.27,,<30,0.5,-1
0.0,789867.0,,<30,0.5,-1
0.0,133294.81,,<30,0.5,-1
0.0,612190.11,,<30,0.5,-1
0.0,607559.06,,<30,0.5,-1
0.0,407569.57,,<30,0.5,-1
0.0,435994.75,,<30,0.5,-1
0.0,219434.41,,<30,0.5,-1
0.0,503525.18,,<30,0.6,-1
0.0,5872891.5,,<30,0.6,-1
0.0,1638830.98,,<30,0.65,-1
0.0,579667.41,,<30,0.65,-1
0.0,578052.64,,<30,0.65,-1
0.0,576999.13,,<30,0.65,-1
0.0,1540584.98,,<30,0.65,-1
0.0,707692.83,,<30,0.65,-1
0.0,5885593.3,,<30,0.7,-1
0.0,600235.02,,<30,0.7,-1
0.0,516438.76,,<30,0.75,-1
0.0,5432827.98,,<30,0.75,-1
0.0,242349.74,,<30,0.75,-1
0.0,5388343.7,,<30,0.75,-1
0.0,775973.5,,<30,0.75,-1
0.0,1130098.54,,<30,0.75,-1
0.0,575023.96,,<30,0.75,-1
0.0,206334.38,,<30,0.75,-1
0.0,250589.24,,<30,0.75,-1
0.0,225209.38,,<30,0.75,-1
0.0,1332002.75,,<30,0.75,-1
0.0,209110.49,,<30,0.75,-1
0.0,4766370.26,,<30,0.75,-1
0.0,3399141.63,,<30,0.75,-1
0.0,207004.31,,<30,0.75,-1
0.0,743759.05,,<30,0.75,-1
0.0,71105.93,,<30,0.75,-1
0.0,210835.13,,<30,0.75,-1
0.0,115416.83,,<30,0.75,-1
0.0,473178.85,,<30,0.75,-1
0.0,454121.78,,<30,0.75,-1
0.0,453294.44,,<30,0.75,-1
0.0,333221.67,,<30,0.75,-1
0.0,4388840.73,,<30,0.75,-1
0.0,1527542.97,,<30,0.75,-1
0.0,548522.56,,<30,0.75,-1
0.0,2121610.75,,<30,0.75,-1
0.0,3128145.5,,<30,0.75,-1
0.0,2582509.73,,<30,0.75,-1
0.0,6298580.76,,<30,0.75,-1
0.0,535449.13,,<30,0.75,-1
0.0,400464.07,,<30,0.75,-1
0.0,278071.34,,<30,0.75,-1
0.0,927752.31,,<30,0.75,-1
0.0,1149742.45,,<30,0.75,-1
0.0,5144367.23,,<30,0.75,-1
0.0,409604.99,,<30,0.75,-1
0.0,1454183.98,,<30,0.75,-1
0.0,213828.36,,<30,0.75,-1
0.0,1097229.68,,<30,0.75,-1
0.0,1380028.75,,<30,0.75,-1
0.0,2368141.34,,<30,0.85,40
50300000.0,0.0,,<30,0.872,40
44000000.0,0.0,,<30,0.8725,40
50200000.0,0.0,,<30,0.8945,40
0.0,1450400.0,,<30,0.9,40
0.0,2029500.0,,<30,0.9,40
5000000.0,0.0,,<30,0.948,40
0.0,1529703.62,,<30,1.0,-1
0.0,2630928.81,,<30,1.0,-1
0.0,408386.8,,<30,1.0,-1
0.0,150000000.0,,<30,1.4031,-1
0.0,95000000.0,,<30,1.4156,-1
95000000.0,0.0,,<30,1.48,44
150000000.0,0.0,,<30,1.48,44
0.0,200000000.0,,<30,1.5039,44
200000000.0,0.0,,<30,1.5039,44
0.0,92300000.0,,<30,1.5506,44
0.0,191700000.0,,<30,1.5506,44
191700000.0,0.0,,<30,1.5506,44
92300000.0,0.0,,<30,1.5506,44
0.0,20400000.0,,<30,1.6579,45
79000000.0,0.0,,<30,1.6579,45
0.0,50900000.0,,<30,1.6579,45
15250000.0,0.0,,<30,1.6579,45
0.0,35200000.0,,<30,1.6579,45
12400000.0,0.0,,<30,1.6579,45
0.0,110200000.0,,<30,1.6579,45
10200000.0,0.0,,<30,1.6579,45
0.0,5200000.0,,<30,1.6579,45
101200000.0,0.0,,<30,1.6579,45
0.0,3100000.0,,<30,1.6579,45
0.0,10500000.0,,<30,1.6579,45
0.0,10200000.0,,<30,1.6579,45
0.0,10200000.0,,<30,1.6579,45
0.0,13800000.0,,<30,1.6579,45
0.0,1000.0,,<30,1.6579,45
83500000.0,0.0,,<30,1.6579,45
30500000.0,0.0,,<30,1.6579,45
10900000.0,0.0,,<30,1.6579,45
10000000.0,0.0,,<30,1.6579,45
47700000.0,0.0,,<30,1.6579,45
0.0,110000000.0,,<30,1.6579,45
0.0,15200000.0,,<30,1.6579,45
0.0,10400000.0,,<30,1.6579,45
0.0,85400000.0,,<30,1.6579,45
0.0,20600000.0,,<30,1.6579,45
10900000.0,0.0,,<30,1.6579,45
0.0,10300000.0,,<30,1.6579,45
0.0,20800000.0,,<30,1.6579,45
0.0,34500000.0,,<30,1.6579,45
0.0,64500000.0,,<30,1.6579,45
0.0,12000000.0,,<30,1.6579,45
19500000.0,0.0,,<30,1.6579,45
0.0,110200000.0,,<30,1.6579,45
10000000.0,0.0,,<30,1.6579,45
208800000.0,0.0,,<30,1.6579,45
50300000.0,0.0,,<30,1.6579,45
52600000.0,0.0,,<30,1.6579,45
25900000.0,0.0,,<30,1.6579,45
8300000.0,0.0,,<30,1.6579,45
20800000.0,0.0,,<30,1.6579,45
0.0,25000000.0,,<30,1.6579,45
0.0,10000000.0,,<30,1.6579,45
10000000.0,0.0,,<30,1.6579,45
208800000.0,0.0,,<30,1.6579,45
0.0,14100000.0,,<30,1.6579,45
0.0,54000000.0,,<30,1.6579,45
0.0,61500000.0,,<30,1.6579,45
82100000.0,0.0,,<30,1.6579,45
35000000.0,0.0,,<30,1.6642,45
0.0,10000000.0,,<30,1.6746,45
140000000.0,0.0,,<30,1.6746,45
20000000.0,0.0,,<30,1.6746,45
0.0,20500000.0,,<30,1.6746,45
10300000.0,0.0,,<30,1.6746,45
0.0,20800000.0,,<30,1.6746,45
0.0,100000000.0,,<30,1.6746,45
10000000.0,0.0,,<30,1.6746,45
74000000.0,0.0,,<30,1.6746,45
0.0,41300000.0,,<30,1.6746,45
0.0,10300000.0,,<30,1.6746,45
41300000.0,0.0,,<30,1.6746,45
0.0,25400000.0,,<30,1.6746,45
0.0,47700000.0,,<30,1.6746,45
10200000.0,0.0,,<30,1.6746,45
